"hate_speech","counter_speech","target"
"If you're going to talk about black rights, then you have to talk about white genocide.","This is not true, it's just a stereotypical narrative that has been constructed to incite hatred and violence against a particular racial group.","POC"
"Muslims are not welcome here. They do not share our values. They are not interested in our future.","This is just a myth spread to divide us. We do not need to scapegoat Muslims. They have contributed so much to our country.","MUSLIMS"
"Jews are a despisable race.","Jews are human beings. To be despised does not make one despicable.","JEWS"
"Feminism is a political ideology and philosophy and a distraction from the real issues that we face.","Feminism is a political and social theory and is crucial to resolving the problems that we are facing. The solution is not to force women to conform to gender stereotypes.","WOMEN"
"Islam is death cult.","I think you are being overly sensitive about Islam. A lot of Muslims around the world are really nice and understanding people.","MUSLIMS"
"The disabled people cannot work. This is not possible.","The fact that some disabled people can successfully work is evidence that what you say is false.","DISABLED"
"Those migrants are all criminals, rapists and drug addicts. They are not welcome here.","To be honest, we are not importing criminals, we are importing people who can contribute to the community and work hard to make it a better place.","MIGRANTS"
"I am tired of Muslims wanting to dominate other cultures. They should go back to the Stone Age.","For all we know, the Stone Age was occupied by people from all around the world. No traces of Christianity, nor of Islam. Who knows what would happen in your scenario? Maybe we should give you benefit of the doubt and challenge all of us.","MUSLIMS"
"I like ethnic minorities, but Jews have no place in civilised society.","Laws designed to protect the minority groups should be applied equally to everyone, even if it includes people you don't like, like Jews.","JEWS"
"women should be submissive to men.","There are many women who want to be ""submissive to men"". Just as there are many men who want to be ""submissive to women"". We may not believe in absolute equality, but we all want to be treated equally.","WOMEN"
